LISTING_NEIGHBOURHOOD,MONTH_YEAR,MAXIMUM_PRICE,MINIMUM_PRICE,MEDIAN_PRICE,AVERAGE_PRICE,DISTINCT_HOST,SUPERHOST_RATE,AVG_REVIEW_SCORES_RATINGS,PERCENTAGE_CHANGE_FOR_ACTIVE_LISTING,PERCENTAGE_CHANGE_FOR_INACTIVE_LISTING,TOTAL_NUMBER_OF_STAYS,AVG_ESTIMATED_REVENUE
Strathfield,1/09/2020,4567,20,73,127.4967337,149,17.0854,88.007576,13.71,,6516,1417.850503
Sutherland Shire,1/09/2020,1523,24,133.5,204.528,453,29.8039,95.644909,6.69,,429639,4236.690373
Sydney,1/09/2020,14315,11,114,164.3751301,5838,15.0627,92.648346,10.87,,4500650,3284.353887
The Hills Shire,1/09/2020,9999,21,80,197.4083333,247,17.9245,92.816901,4.61,,52514,1892.367862
Waverley,1/09/2020,10000,5,149,232.9787308,3999,9.5031,94.045134,14.51,,1284976,5370.898244
Willoughby,1/09/2020,14568,19,103,200.9512375,376,9.98,91.960725,7.28,,87920,4060.810399
Woollahra,1/09/2020,28613,20,150,344.3102243,1215,10.1292,93.707758,11.61,,232498,7080.60085
Bayside,1/10/2020,2904,17,78,108.7817449,1141,13.4171,92.087185,-1.75,,908430,2103.445611
Blacktown,1/10/2020,2000,18,64,98.96544484,216,11.7438,91.224852,-2.77,,225390,1673.458007
Burwood,1/10/2020,530,15,65,90.03071698,163,6.4151,89.157609,0.76,,26202,1350.09434
Camden,1/10/2020,425,35,100,114.3881132,43,32.0755,95.117647,10.42,,20350,1753.827925
Campbelltown,1/10/2020,659,25,74,114.7797917,67,26.0417,90.779221,-4,,58905,1733.1125
Canada Bay,1/10/2020,1100,25,100,141.8631313,343,8.5859,93.987854,-1,,147322,3097.515682
Canterbury-Bankstown,1/10/2020,650,13,70,92.96316994,474,12.9085,90.57672,-0.16,,409461,1518.971422
Cumberland,1/10/2020,15000,15,85,172.7475214,354,13.6752,91.389728,-2.3,,140970,4101.446624
